IDs         length   Exptl.  resolution  R-factor FreeRvalue
4NYQA       164      XRAY        1.200    0.15    0.19
1R29A       127      XRAY        1.300    0.13    0.17
1S1DA       331      XRAY        1.600    0.17    0.19
4KH8A       318      XRAY        1.600    0.14    0.17
4MJDA       113      XRAY        1.280    0.14    0.17
3LB2A       137      XRAY        1.060    0.17    0.18
5HOCA        50      XRAY        1.360    0.23    0.25
1ISUA        62      XRAY        1.500    0.17    1.00
3NVWB       334      XRAY        1.600    0.19    0.21
2V8FA       140      XRAY        1.100    0.15    0.17
3NVSA       450      XRAY        1.020    0.12    0.14
4IYAA       292      XRAY        1.550    0.17    0.19
4W7WA       332      XRAY        1.050    0.14    0.16
5F4CA        93      XRAY        1.400    0.14    0.18
2QB7A       397      XRAY        1.600    0.17    0.20
1Z3EB        73      XRAY        1.500    0.20    0.22
3BGUA       116      XRAY        1.500    0.20    0.24
3S8SA       110      XRAY        1.300    0.17    0.20
3ZZYA       130      XRAY        1.400    0.22    0.23
4ZZ1A       210      XRAY        1.350    0.14    0.16
4Y0GA        90      XRAY        1.600    0.15    0.18
1LZLA       323      XRAY        1.300    0.15    0.21
1S9RA       410      XRAY        1.600    0.17    0.20
1ZKEA        83      XRAY        1.600    0.20    0.23
2W1RA       123      XRAY        1.500    0.22    0.24
2HS1A        99      XRAY        0.840    0.12    0.15
2IXMA       303      XRAY        1.500    0.20    0.22
1GMXA       108      XRAY        1.100    0.13    0.15
2OFKA       183      XRAY        1.500    0.16    0.20
5B7DA       219      XRAY        1.520    0.16    0.18
1NWZA       125      XRAY        0.820    0.12    0.14
4MFIA       436      XRAY        1.500    0.14    0.16
2RDQA       288      XRAY        1.310    0.18    0.20
4PF3A       275      XRAY        1.100    0.15    0.18
1X9IA       302      XRAY        1.160    0.15    0.16
1U8VA       490      XRAY        1.600    0.17    0.21
4MCOA       345      XRAY        1.600    0.15    0.18
3D1PA       139      XRAY        0.980    0.11    0.12
5KNHI       112      XRAY        1.600    0.17    0.20
4CA1A       195      XRAY        1.580    0.14    0.19
4GMQA       103      XRAY        1.300    0.15    0.19
1WPNA       188      XRAY        1.300    0.14    0.17
2E3HA        90      XRAY        1.450    0.19    0.21
4E6FA       181      XRAY        1.490    0.16    0.18
2NMLA       104      XRAY        1.550    0.20    0.24
5HHJA       305      XRAY        1.200    0.12    0.15
3IUOA       122      XRAY        1.600    0.19    0.22
3BI1A       709      XRAY        1.500    0.15    0.17
3LGBA       194      XRAY        1.540    0.15    0.16
2PRXA       160      XRAY        1.500    0.20    0.28
3ROFA       158      XRAY        1.030    0.15    0.17
1VZMA        45      XRAY        1.400    0.19    0.23
3IKWA       374      XRAY        1.300    0.19    0.21
1E5KA       201      XRAY        1.350    0.18    0.21
2X2SA       153      XRAY        1.600    0.14    0.16
2XHGA       466      XRAY        1.500    0.16    0.18
4UPIA       576      XRAY        1.250    0.14    0.16
5DHDA       100      XRAY        1.270    0.20    0.20
5HQHA       109      XRAY        1.320    0.16    0.19
2XPWA       207      XRAY        1.440    0.18    0.20
2DDXA       333      XRAY        0.860    0.14    0.15
5G38A       172      XRAY        1.150    0.16    0.18
3K7PA       179      XRAY        1.400    0.22    0.23
5JUGA       168      XRAY        0.960    0.12    0.14
1U07A        90      XRAY        1.130    0.14    0.18
5K1PA       274      XRAY        1.500    0.17    0.20
3KXTA        56      XRAY        1.600    0.18    0.22
1XG0C       177      XRAY        0.970    0.11    0.13
3IOHA       298      XRAY        1.250    0.15    0.18
1JM1A       204      XRAY        1.110    0.11    0.12
4MM2A       414      XRAY        1.600    0.26    0.29
5M29A       290      XRAY        1.500    0.18    0.21
3VSVA       638      XRAY        1.480    0.15    0.17
2D68A        82      XRAY        1.600    0.21    0.25
1FCYA       236      XRAY        1.300    0.13    0.16
5DGJA       188      XRAY        1.000    0.14    0.15
4MAKA        94      XRAY        1.100    0.14    0.17
3S2JA       400      XRAY        1.300    0.17    0.18
4NSVA       275      XRAY        0.900    0.14    0.16
1LC0A       294      XRAY        1.200    0.22    0.23
1RXIA       131      XRAY        1.500    0.21    0.23
1QWGA       251      XRAY        1.600    0.17    0.19
2FR5A       146      XRAY        1.480    0.17    0.19
4ZGFA       141      XRAY        1.000    0.12    0.14
1F8EA       388      XRAY        1.400    0.19    0.22
4M91A       161      XRAY        1.100    0.14    0.16
4P3AA        79      XRAY        1.400    0.15    0.17
5HJ9A       330      XRAY        1.280    0.15    0.16
1KQPA       271      XRAY        1.030    0.11    0.14
3ZW5A       147      XRAY        1.600    0.17    0.20
3D0JA       140      XRAY        1.530    0.17    0.18
5TSQA       312      XRAY        1.530    0.15    0.17
5DJHA       288      XRAY        1.450    0.15    0.17
3D40A       286      XRAY        1.530    0.17    0.20
4JTMA        81      XRAY        1.430    0.19    0.22
4FBJA       261      XRAY        1.600    0.17    0.24
4S1PA       191      XRAY        1.450    0.12    0.16
1YBKA        52      XRAY        1.450    0.21    0.23
3KS3A       260      XRAY        0.900    0.14    0.14
3NO7A        80      XRAY        1.400    0.20    0.21
4EVUA        72      XRAY        1.450    0.13    0.17
2VXTI       157      XRAY        1.490    0.16    0.20
2NWFA       141      XRAY        1.100    0.12    0.14
2QFAB        62      XRAY        1.400    0.19    0.20
3ZZSA        65      XRAY        1.490    0.15    0.18
4CFQQ        45      XRAY        1.370    0.16    0.19
2P8IA       117      XRAY        1.400    0.14    0.17
3OBQA       146      XRAY        1.400    0.21    0.22
4WE2A       277      XRAY        1.500    0.18    0.21
5F5NA       289      XRAY        1.300    0.14    0.17
2DY0A       190      XRAY        1.250    0.20    0.21
5FS8A       515      XRAY        1.400    0.17    0.19
4GVQA       316      XRAY        1.300    0.14    0.16
2HQXA       246      XRAY        1.420    0.23    0.27
5IDBA       142      XRAY        1.000    0.12    0.14
3LW3A       145      XRAY        1.600    0.21    0.27
3FGYA       135      XRAY        1.590    0.18    0.21
4BGCA       102      XRAY        1.200    0.17    0.20
3KGKA       110      XRAY        1.400    0.19    0.22
5AHKA       588      XRAY        1.550    0.15    0.17
3GE3C        84      XRAY        1.520    0.17    0.19
1X6OA       174      XRAY        1.600    0.18    0.21
5T46B        66      XRAY        1.530    0.14    0.16
5A9TA       290      XRAY        1.500    0.18    0.21
3NO0A       276      XRAY        1.300    0.17    0.19
3SRIA       381      XRAY        1.600    0.18    0.20
3NRFA       106      XRAY        1.500    0.19    0.22
3M5QA       357      XRAY        0.930    0.12    0.13
4X7GA       251      XRAY        1.220    0.18    0.20
3FWKA       308      XRAY        1.200    0.16    0.18
5IMAA       160      XRAY        1.040    0.12    0.14
2V7FA       150      XRAY        1.150    0.14    0.15
1G8QA        90      XRAY        1.600    0.19    0.24
5UEBA       147      XRAY        1.500    0.16    0.18
2II2A       310      XRAY        1.100    0.20    0.23
3IQUA       236      XRAY        1.050    0.13    0.15
2EV1A       222      XRAY        1.600    0.19    0.22
4YTBA       432      XRAY        1.400    0.15    0.15
4AVSA       204      XRAY        1.400    0.14    0.17
1ZVAA        77      XRAY        1.500    0.21    0.25
4HI8B        72      XRAY        1.200    0.14    0.17
1UWKA       557      XRAY        1.190    0.14    0.18
1Q5YA        85      XRAY        1.400    0.16    0.22
5EP6A        47      XRAY        1.450    0.19    0.22
3VUBA       101      XRAY        1.400    0.19    0.22
5KVSA       385      XRAY        1.280    0.16    0.17
5BYKA       259      XRAY        1.280    0.15    0.17
2XVMA       199      XRAY        1.480    0.17    0.23
4LVFA       501      XRAY        1.500    0.17    0.17
4OHJA       229      XRAY        1.280    0.14    0.18
1ZMAA       118      XRAY        1.250    0.13    0.17
3JTZA        88      XRAY        1.300    0.21    0.24
5BY8A       231      XRAY        1.520    0.15    0.19
3NUFA       119      XRAY        1.380    0.17    0.19
4YTWB       184      XRAY        1.400    0.22    0.24
4TXRA       163      XRAY        1.000    0.16    0.18
1BYIA       224      XRAY        0.970    0.12    1.00
4OI3A        89      XRAY        1.300    0.15    0.17
2P2SA       336      XRAY        1.250    0.16    0.18
2V9LA       274      XRAY        1.230    0.09    0.12
3DFGA       162      XRAY        1.500    0.20    0.23
5B7YA       290      XRAY        1.320    0.17    0.19
2GQTA       268      XRAY        1.300    0.19    0.21
3ZBDA       113      XRAY        1.490    0.18    0.21
2IA1A       178      XRAY        1.590    0.17    0.19
4KZKA       337      XRAY        1.500    0.17    0.19
2QT1A       207      XRAY        1.320    0.24    0.26
1W1HA       151      XRAY        1.450    0.16    0.21
2NLRA       234      XRAY        1.200    0.11    0.14
1S29A        92      XRAY        1.600    0.23    0.25
4OMBA       347      XRAY        1.500    0.19    0.22
5J90A       508      XRAY        1.390    0.15    0.17
4WDCA       179      XRAY        1.290    0.12    0.15
2OKFA       140      XRAY        1.600    0.14    0.15
5JE0A       247      XRAY        1.550    0.21    0.25
5EHIA       276      XRAY        1.300    0.19    0.21
3BQXA       150      XRAY        1.400    0.24    0.25
2PFIA       164      XRAY        1.600    0.20    0.22
2IJ2A       470      XRAY        1.200    0.15    0.17
5L9AA       321      XRAY        1.450    0.10    0.16
3BEIA        44      XRAY        1.550    0.19    0.21
4BNDA       253      XRAY        1.500    0.16    0.18
4IL7A       166      XRAY        1.400    0.14    0.17
5GPIB       178      XRAY        1.580    0.17    0.20
4F98A        69      XRAY        1.260    0.14    0.17
2DS5A        51      XRAY        1.500    0.19    0.22
2JFRA       234      XRAY        0.830    0.10    0.12
4W78A       178      XRAY        1.540    0.18    0.20
1RYQA        69      XRAY        1.380    0.19    0.20
3CHJA       337      XRAY        1.600    0.20    0.23
2DWUA       276      XRAY        1.600    0.16    0.19
4ERCA       150      XRAY        1.150    0.13    0.14
1X8QA       184      XRAY        0.850    0.10    0.13
1YLXA       103      XRAY        1.600    0.23    0.25
4W64A       171      XRAY        1.550    0.17    0.20
1IX9A       205      XRAY        0.900    0.11    0.13
2ORWA       184      XRAY        1.500    0.17    0.21
2HBAA        52      XRAY        1.250    0.14    0.16
3MSHA        99      XRAY        1.510    0.18    0.21
4ABLA       183      XRAY        1.150    0.16    0.19
1J3WA       163      XRAY        1.500    0.21    0.22
4KXVA       637      XRAY        0.970    0.10    0.11
2PKFA       334      XRAY        1.500    0.18    0.20
1VYIA       112      XRAY        1.500    0.17    0.20
1DP7P        76      XRAY        1.500    0.19    0.23
4U9HL       533      XRAY        0.890    0.10    0.11
5AGDA       362      XRAY        1.200    0.12    0.14
4OUSA       143      XRAY        1.050    0.15    0.16
4L57A       195      XRAY        1.080    0.14    0.18
5HTLA       145      XRAY        1.370    0.20    0.22
1GV9A       260      XRAY        1.460    0.19    0.21
5FISA       243      XRAY        1.600    0.16    0.18
2HX0A       154      XRAY        1.550    0.20    0.21
3JSYA       213      XRAY        1.600    0.23    0.23
5GQIA       247      XRAY        1.300    0.14    0.17
1RKUA       206      XRAY        1.470    0.19    0.22
3JQ0A       493      XRAY        1.130    0.12    0.14
2Z51A       154      XRAY        1.350    0.14    0.17
1T61A       229      XRAY        1.500    0.20    0.20
4GZCA       180      XRAY        1.300    0.21    0.23
4KT3A       177      XRAY        1.440    0.15    0.17
5K4PA       342      XRAY        1.320    0.15    0.18
5AGIA       261      XRAY        1.470    0.20    0.22
2DJIA       590      XRAY        1.600    0.18    0.21
4K12A        64      XRAY        1.080    0.15    0.17
2WUJA        57      XRAY        1.400    0.19    0.22
3JXOA        86      XRAY        1.550    0.16    0.19
4RXVA       229      XRAY        1.100    0.12    0.14
2I5UA        83      XRAY        1.500    0.18    0.23
3A9SA       595      XRAY        1.600    0.17    0.19
2NNUA       205      XRAY        1.590    0.20    0.23
5UDIA       479      XRAY        1.580    0.16    0.18
3NHEA       348      XRAY        1.260    0.17    0.19
4DOIA       246      XRAY        1.550    0.18    0.20
4YI8A       201      XRAY        1.200    0.12    0.14
4PXYA       250      XRAY        1.500    0.14    0.16
2WU9A       442      XRAY        1.500    0.15    0.18
3T3LA       129      XRAY        1.150    0.17    0.18
2NLVA       112      XRAY        1.300    0.18    0.20
4LERA       469      XRAY        1.420    0.14    0.17
4EDHA       213      XRAY        1.320    0.17    0.19
4ZR8A       365      XRAY        1.500    0.13    0.16
4G9SB       111      XRAY        0.950    0.13    0.14
1O7JA       327      XRAY        1.000    0.11    0.13
1A62A       130      XRAY        1.550    0.22    0.25
3QZBA       143      XRAY        1.100    0.13    0.15
4PZ0A       324      XRAY        1.250    0.13    0.15
3UPLA       446      XRAY        1.500    0.15    0.18
2NQWA        93      XRAY        1.300    0.13    0.17
2WF7A       221      XRAY        1.050    0.15    0.18
3JUMA       185      XRAY        1.450    0.14    0.18
3ZZOA        95      XRAY        1.150    0.13    0.15
2RAFA       209      XRAY        1.600    0.15    0.19
3HP4A       185      XRAY        1.350    0.17    0.19
3EDHA       201      XRAY        1.250    0.14    0.17
2POFA       227      XRAY        1.400    0.25    0.26
4B0ZA       229      XRAY        1.580    0.19    0.23
3D9XA       163      XRAY        1.130    0.16    0.18
3BLNA       143      XRAY        1.310    0.14    0.17
3MYXA       238      XRAY        1.300    0.12    0.15
4YECB       236      XRAY        1.120    0.16    0.19
1T3YA       141      XRAY        1.150    0.12    0.16
5H0MA       130      XRAY        1.520    0.14    0.17
4J7QA       333      XRAY        1.550    0.22    0.24
1EGWA        77      XRAY        1.500    0.21    0.23
2Z26A       347      XRAY        1.290    0.13    0.15
5A6WC        93      XRAY        1.600    0.18    0.20
4RY1A       411      XRAY        1.400    0.14    0.18
3A57A       165      XRAY        1.500    0.13    0.17
5BOWA       151      XRAY        1.310    0.14    0.16
1NYCA       111      XRAY        1.400    0.20    0.23
4M7TA       270      XRAY        1.560    0.17    0.18
4REIA       151      XRAY        1.490    0.20    0.22
5DICA       117      XRAY        1.190    0.13    0.17
1RO2A       216      XRAY        1.600    0.25    0.27
2VFRA       422      XRAY        1.100    0.14    0.17
3SBMA       281      XRAY        1.350    0.16    0.17
4A29A       258      XRAY        1.100    0.12    0.14
4NDSA        94      XRAY        1.000    0.11    0.12
3H9MA       436      XRAY        1.570    0.17    0.19
5JWHA       458      XRAY        1.400    0.18    0.21
3X34A        94      XRAY        0.760    0.11    0.13
4YE7A       110      XRAY        1.400    0.18    0.21
3H4OA       191      XRAY        1.500    0.14    0.17
3U5SA       126      XRAY        1.500    0.21    0.24
3IVVA       145      XRAY        1.250    0.18    0.20
5GMDA       325      XRAY        1.500    0.17    0.19
2QXFA       482      XRAY        1.500    0.20    0.22
4X5PA       160      XRAY        1.000    0.12    0.14
1CXQA       162      XRAY        1.020    0.13    0.16
1GK9A       260      XRAY        1.300    0.15    0.17
3LDCA        82      XRAY        1.450    0.19    0.20
1P9GA        41      XRAY        0.840    0.07    0.08
3A8GA       207      XRAY        1.110    0.14    0.17
3BY8A       142      XRAY        1.450    0.22    0.23
4J8SA       203      XRAY        1.550    0.17    0.19
2DSKA       311      XRAY        1.500    0.17    0.18
5IDHA       352      XRAY        1.550    0.18    0.22
4PZ3A       153      XRAY        1.080    0.17    0.18
4OM8A       309      XRAY        1.550    0.16    0.19
5GUIA       153      XRAY        1.200    0.15    0.17
2Y9UA        69      XRAY        1.600    0.19    0.21
4J0DA       491      XRAY        1.600    0.14    0.17
5AMBA       629      XRAY        1.550    0.16    0.18
2QZCA       214      XRAY        1.500    0.17    0.18
2AIBA        98      XRAY        1.100    0.12    0.15
1WMHA        89      XRAY        1.500    0.22    0.22
3A35A       190      XRAY        1.420    0.20    0.23
5AOZA       169      XRAY        1.140    0.12    0.14
3O2TA       386      XRAY        1.400    0.16    0.19
5A1QA        71      XRAY        1.600    0.18    0.22
3GDMA       267      XRAY        1.600    0.22    0.24
3SZYA       427      XRAY        1.350    0.20    0.21
2Y0OA       175      XRAY        1.230    0.15    0.18
4LLDB       129      XRAY        1.190    0.18    0.17
1RA0A       430      XRAY        1.120    0.17    0.17
3FRHA       253      XRAY        1.200    0.14    0.16
3U7QB       523      XRAY        1.000    0.13    0.15
2X4LA       325      XRAY        1.500    0.18    0.21
1S3CA       141      XRAY        1.250    0.15    0.24
4YAAA       306      XRAY        1.050    0.13    0.14
3WJTA       178      XRAY        1.550    0.21    0.24
3ZN6A       291      XRAY        1.530    0.17    0.20
3BVXA      1045      XRAY        1.100    0.15    0.19
5DAWA       308      XRAY        1.600    0.19    0.20
4U7AA       826      XRAY        1.600    0.16    0.17
4E29A       248      XRAY        1.600    0.22    0.24
3KGYA       231      XRAY        1.500    0.15    0.17
2FUPA       157      XRAY        1.480    0.19    0.22
4K7BA       124      XRAY        1.550    0.19    0.20
4BGBA       325      XRAY        1.340    0.16    0.18
2YV9A       291      XRAY        1.600    0.19    0.23
3FILA        56      XRAY        0.880    0.12    0.15
2YH5A       127      XRAY        1.250    0.15    0.18
5EP2A       256      XRAY        1.420    0.16    0.18
3H7CX       383      XRAY        1.500    0.15    0.17
5APGA       185      XRAY        1.600    0.19    0.20
1XMKA        79      XRAY        0.970    0.14    0.18
4MF5A       256      XRAY        1.110    0.11    0.13
4G0XA       147      XRAY        1.350    0.16    0.18
4HLYA       132      XRAY        1.480    0.20    0.23
1G6XA        58      XRAY        0.860    0.11    0.14
3FZEA       196      XRAY        1.600    0.21    0.24
1NUYA       337      XRAY        1.300    0.16    0.21
1KQFA      1015      XRAY        1.600    0.18    0.20
2QE8A       343      XRAY        1.350    0.12    0.14
4LX2A       392      XRAY        1.500    0.17    0.20
4UTUA       229      XRAY        1.450    0.14    0.17
4YNXA        66      XRAY        1.500    0.17    0.25
2BDRA       175      XRAY        1.600    0.20    0.22
1Z67A       135      XRAY        1.450    0.16    0.21
4XJ5A       389      XRAY        1.550    0.18    0.19
4XBAA       200      XRAY        1.500    0.16    0.19
4LGJA       271      XRAY        1.550    0.17    0.19
4QTCA       357      XRAY        1.400    0.15    0.16
3PIUA       435      XRAY        1.350    0.15    0.17
2IBDA       204      XRAY        1.500    0.17    0.20
2VWSA       267      XRAY        1.390    0.17    0.19
3TYSA        88      XRAY        1.120    0.14    0.16
5CECA       446      XRAY        1.360    0.14    0.17
5JVVA       298      XRAY        1.590    0.15    0.18
3RPEA       218      XRAY        1.100    0.10    0.12
3TU8A       210      XRAY        1.040    0.13    0.16
2JAEA       489      XRAY        1.250    0.15    0.18
3N2WA       373      XRAY        1.450    0.13    0.15
4AL0A       152      XRAY        1.160    0.12    0.13
4DJAA       518      XRAY        1.450    0.14    0.18
1XD3A       230      XRAY        1.450    0.18    0.19
2ASBA       251      XRAY        1.500    0.19    0.22
4JBDA       330      XRAY        1.300    0.16    0.18
5A0YC       249      XRAY        1.100    0.11    0.13
3TJMA       283      XRAY        1.480    0.19    0.22
2LISA       136      XRAY        1.350    0.14    0.18
3WH1A       206      XRAY        1.000    0.15    0.15
2CDPA       160      XRAY        1.590    0.21    0.25
2V8TA       302      XRAY        0.980    0.10    0.12
1VCCA        77      XRAY        1.600    0.22    0.29
4JCCA       286      XRAY        1.130    0.15    0.17
1G61A       228      XRAY        1.300    0.13    0.18
4N02A       357      XRAY        1.400    0.14    0.16
3A0YA       152      XRAY        1.570    0.20    0.22
2DTJA       178      XRAY        1.580    0.20    0.23
2GGCA       263      XRAY        1.000    0.12    0.13
3KWRA        97      XRAY        1.450    0.16    0.18
5AQ0A        82      XRAY        0.950    0.15    0.17
1R5MA       425      XRAY        1.550    0.19    0.20
3L51B       166      XRAY        1.510    0.15    0.17
3I10A       278      XRAY        1.350    0.15    0.17
4XD1A       417      XRAY        1.500    0.18    0.21
4E6UA       265      XRAY        1.410    0.18    0.19
1Y5HA       133      XRAY        1.500    0.22    0.23
2O90A       122      XRAY        1.070    0.13    0.15
2DEJA       350      XRAY        1.500    0.19    0.23
4YX1A        70      XRAY        1.350    0.17    0.20
2ZWSA       646      XRAY        1.400    0.18    0.21
1IOMA       377      XRAY        1.500    0.17    0.18
5FYPA       298      XRAY        1.170    0.13    0.15
4EA9A       220      XRAY        0.900    0.14    0.15
1P5ZB       263      XRAY        1.600    0.17    0.20
3MQZA       215      XRAY        1.300    0.15    0.17
1L7AA       318      XRAY        1.500    0.19    0.19
1YS1X       320      XRAY        1.100    0.15    0.16
2V8IA       543      XRAY        1.500    0.22    0.24
4PNOA        72      XRAY        0.970    0.14    0.16
5GJHA       100      XRAY        1.200    0.15    0.17
5BPKC       225      XRAY        1.490    0.14    0.18
4DWRA       487      XRAY        1.480    0.14    0.18
2Q1SA       377      XRAY        1.500    0.19    0.23
3NKEA       200      XRAY        1.400    0.18    0.20
4XMRA       254      XRAY        1.300    0.14    0.17
2WQFA       202      XRAY        1.350    0.13    0.15
1QW2A       102      XRAY        1.500    0.20    0.22
1WVQA       167      XRAY        1.450    0.21    0.22
1JHJA       171      XRAY        1.600    0.21    0.24
5EQ7A       277      XRAY        1.190    0.11    0.14
5KARA       427      XRAY        1.140    0.14    0.15
2DLBA        80      XRAY        1.200    0.15    0.17
4WCKA       439      XRAY        1.400    0.14    0.16
1KGDA       180      XRAY        1.310    0.19    0.21
3CHMA       169      XRAY        1.500    0.17    0.20
2F46A       156      XRAY        1.410    0.20    0.23
4HEIA        95      XRAY        1.600    0.26    0.28
4U9HS       265      XRAY        0.890    0.10    0.11
3DNJA        85      XRAY        1.150    0.14    0.16
1X0TA       120      XRAY        1.600    0.22    0.24
3DKMA        89      XRAY        1.600    0.16    0.18
1XPPA       115      XRAY        1.600    0.22    0.26
2PXXA       215      XRAY        1.300    0.21    0.23
3U2UA       263      XRAY        1.450    0.17    0.19
1RKIA       102      XRAY        1.600    0.19    0.23
3PESA        85      XRAY        1.300    0.18    0.20
3WDCA       153      XRAY        1.180    0.12    0.16
2WFIA       179      XRAY        0.750    0.11    0.12
1CY5A        97      XRAY        1.300    0.17    0.20
5J4FA       119      XRAY        1.400    0.18    0.21
5B1AG        85      XRAY        1.500    0.15    0.17
4W78B       127      XRAY        1.540    0.18    0.20
2MCMA       112      XRAY        1.500    0.15    1.00
4QLPA       176      XRAY        1.100    0.13    0.14
4OQPA       264      XRAY        1.600    0.16    0.19
1KMTA       141      XRAY        1.300    0.16    0.20
4ARUA       413      XRAY        1.450    0.16    0.19
4FZPA        82      XRAY        1.290    0.18    0.19
4NOGA       442      XRAY        1.200    0.14    0.17
4UU3A       168      XRAY        1.150    0.12    0.13
4B4DA       262      XRAY        1.500    0.21    0.23
4J7NA       378      XRAY        1.500    0.18    0.20
4JJJA       642      XRAY        1.600    0.12    0.16
3QC7A       179      XRAY        1.520    0.20    0.22
5GTQA       311      XRAY        1.130    0.12    0.14
1L3KA       196      XRAY        1.100    0.16    0.19
1N13A        52      XRAY        1.400    0.20    0.21
1VP8A       201      XRAY        1.300    0.15    0.17
4TKXL       452      XRAY        1.600    0.12    0.14
4I8IA       271      XRAY        1.500    0.15    0.18
2R0XA       158      XRAY        1.060    0.14    0.17
3TPDA       440      XRAY        1.500    0.22    0.25
5B4ZA       345      XRAY        1.300    0.15    0.17
4KDWA       123      XRAY        1.350    0.13    0.17
1UTEA       313      XRAY        1.550    0.21    0.26
1SENA       164      XRAY        1.200    0.16    0.18
4I0WA        96      XRAY        1.600    0.16    0.18
3W07A       252      XRAY        1.030    0.12    0.14
3I7MA       140      XRAY        1.460    0.16    0.20
2XFRA       535      XRAY        0.970    0.11    0.13
3LS9A       456      XRAY        1.400    0.17    0.19
3ZBOA       241      XRAY        1.580    0.17    0.20
2FOZA       347      XRAY        1.600    0.17    0.21
2VOVA       336      XRAY        1.350    0.19    0.21
2HA8A       184      XRAY        1.600    0.18    0.21
2APJA       260      XRAY        1.600    0.15    0.18
4NL9A        71      XRAY        1.500    0.18    0.20
3QGUA       449      XRAY        1.550    0.13    0.17
2EPLX       627      XRAY        1.400    0.19    0.20
1CCWA       137      XRAY        1.600    0.14    0.17
4RPTA       144      XRAY        1.350    0.19    0.21
5C12A       278      XRAY        1.520    0.16    0.18
2BKFA        87      XRAY        1.560    0.20    0.23
4ZV0B        94      XRAY        1.400    0.15    0.16
2PA7A       141      XRAY        1.500    0.20    0.24
4QGOA       225      XRAY        1.500    0.15    0.18
2VFOA       559      XRAY        1.500    0.12    0.14
1WHIA       122      XRAY        1.500    0.19    0.26
1US5A       314      XRAY        1.500    0.18    0.20
4DDPA       210      XRAY        1.550    0.18    0.20
4AU1A       229      XRAY        1.450    0.16    0.18
3VMNA       643      XRAY        1.600    0.15    0.18
4ES1A       100      XRAY        1.100    0.16    0.16
1QWOA       442      XRAY        1.500    0.16    0.19
1VLYA       338      XRAY        1.300    0.14    0.17
4MZCA       111      XRAY        0.950    0.10    0.11
1GQIA       708      XRAY        1.480    0.13    0.17
2YHGA       437      XRAY        1.080    0.13    0.15
4TVOA       330      XRAY        1.500    0.17    0.19
4RU3A       221      XRAY        1.170    0.14    0.15
1J2JB        45      XRAY        1.600    0.20    0.23
5C33A       198      XRAY        1.210    0.14    0.17
4EYZA       246      XRAY        1.380    0.13    0.15
2YNAA       306      XRAY        1.500    0.16    0.17
2B4HA       254      XRAY        1.600    0.20    0.23
1ZUUA        58      XRAY        0.970    0.12    0.14
3R72A       122      XRAY        1.150    0.15    0.17
4JB7A       256      XRAY        1.420    0.13    0.14
4RGDA        70      XRAY        1.200    0.12    0.15
1VYRA       364      XRAY        0.900    0.12    0.14
3KZ5A        52      XRAY        1.580    0.20    0.23
5CTVA       188      XRAY        1.050    0.14    0.15
2QPXA       376      XRAY        1.400    0.14    0.16
1GY7A       125      XRAY        1.600    0.20    0.22
2OZHA       142      XRAY        1.400    0.14    0.15
4B9GA       161      XRAY        1.040    0.16    0.17
5CWGA       210      XRAY        1.200    0.14    0.17
4ZA9A       508      XRAY        1.010    0.13    0.14
2OIZD       135      XRAY        1.050    0.12    0.14
2VY8A       157      XRAY        1.200    0.19    0.21
4PSRA       585      XRAY        1.380    0.14    0.17
4M1XA        99      XRAY        1.300    0.12    0.14
4RLCA       175      XRAY        1.600    0.19    0.23
2OZJA       114      XRAY        1.600    0.18    0.21
3SY1A       245      XRAY        1.470    0.17    0.19
4WUTA       313      XRAY        1.500    0.18    0.21
3NYTA       367      XRAY        1.300    0.19    0.22
1VH5A       148      XRAY        1.340    0.19    0.23
1XAWA       140      XRAY        1.450    0.28    0.28
2W7AA       100      XRAY        1.400    0.14    0.18
4Q4W1       305      XRAY        1.400    0.15    1.00
4WWFA       118      XRAY        1.100    0.12    0.14
1YD0A        96      XRAY        1.500    0.17    0.18
3PE6A       303      XRAY        1.350    0.12    0.15
3FJUB        65      XRAY        1.600    0.16    0.20
2HINA        71      XRAY        1.050    0.16    0.17
3IR4A       218      XRAY        1.200    0.12    0.14
4J6OA       264      XRAY        1.600    0.17    0.21
5CVWA       153      XRAY        1.250    0.14    0.17
2X5YA       173      XRAY        1.050    0.13    0.15
4TMVA       345      XRAY        1.530    0.17    0.19
4QP5A       140      XRAY        1.260    0.13    0.17
4V0KA       169      XRAY        1.440    0.16    0.18
4B21A       232      XRAY        1.450    0.21    0.22
3C8CA       240      XRAY        1.500    0.20    0.23
3QNSA       353      XRAY        1.400    0.13    0.15
3MBRX       243      XRAY        1.440    0.18    0.21
2WURA       238      XRAY        0.900    0.15    0.17
4G4GA       433      XRAY        1.550    0.21    0.25
1XLQA       106      XRAY        1.450    0.20    0.20
4RYOA       181      XRAY        1.600    0.19    0.22
1H80A       464      XRAY        1.600    0.21    0.22
3M73A       314      XRAY        1.150    0.14    0.15
3LAGA        98      XRAY        1.150    0.19    0.22
2P0NA       172      XRAY        1.410    0.17    0.20
4GRNA       116      XRAY        1.250    0.13    0.14
3A6RA       122      XRAY        1.200    0.17    0.19
3GNZP       213      XRAY        1.350    0.16    0.18
5A0DA       186      XRAY        1.600    0.18    0.21
4U98A       454      XRAY        1.150    0.15    0.16
4AY0A       218      XRAY        1.520    0.17    0.19
2FVVA       194      XRAY        1.250    0.17    0.22
3DK9A       478      XRAY        0.950    0.12    0.15
5HEEA       262      XRAY        1.410    0.16    0.19
